event_link-href,event_text,event_title2,event_title1,event_start,event_end,event_image-src,event_maplink__1,event_cost__0,event_organizer__Arts Santa Mónica,event_venue__Arts Santa Mónica,event_id,event_category__Exposición__Arts Santa Mónica
http://artssantamonica.gencat.cat/es/detall/Plec-Elastic.-Mereotopologia-acida-sobre-la-condicio-del-forat,"Exposición incluida en el ciclo expositivo anual The more we know about them, the stranger they become.
 
¿Qué es un agujero? Esta pregunta, aparentemente sencilla, conecta inmediatamente con el siguiente problema: ¿podemos definir ontológicamente lo que es un agujero, teniendo en cuenta su enorme grado de dependencia con la materia sobre la cual aparece? ¿Podrían ser entidades privadas de materia que, sin embargo, no pueden existir de forma autónoma con respecto a un soporte material? ¿Podrían ser objetos que necesitan de otros objetos para poder existir? ¿Cuáles son sus consecuencias en la materia, y también en la producción de objetos? ¿Cuáles son sus cualidades intrínsecas? ¿Es el agujero una manifestación física de la ausencia? Con respecto a la materia, ¿es anfitrión o huésped? ¿Es su condición de abertura una posibilidad para el encuentro entre la superficie y el interior de las cosas? ¿Cómo localizar aquellos agujeros que no están en la superficie? ¿Son siempre visibles para el ser humano? ¿Podrían los agujeros significar un cambio de paradigma con respecto a nuestras consideraciones sobre la materia como algo sólido y compacto? ¿Podría ser que la materia los necesitase para existir tanto como los agujeros a ella?
Pliegue Elástico es un proyecto expositivo que parte del agujero como caso extremo de una reformulación (o un problema) de los parámetros tradicionales de lo que consideramos material. El agujero planteado como objeto ontológico y epistemológico, como concepto; pero también entendido desde lo cotidiano a través de sus manifestaciones locales en la materia. El agujero como símbolo, pero también como estigma.
Pliegue Elástico es la primera de las exposiciones que conforman el ciclo anual The more we know about them, the stranger they become. A travès de 4 proyectos individuales y toda una serie de actividades relacionadas, este ciclo explora la agencia del objeto -el sistema de relaciones que este posibilita o incluye- y la implicación de la materia dentro de un nuevo cambio de paradigma en el cual el sujeto queda desplazado del centro de fuerzas del conocimiento y deja espacio a otras entidades. No se trataría tanto de dejar que los objetos y las cosas hablen por sí mismos, como de entender y poner en práctica otros sistemas de relaciones en los cuales la distribución de valor entre sujetos y objetos sea más equitativa y, en consecuencia, política.
Roc Jiménez de Cisneros (Barcelona, 1975) es artista y miembro del grupo de música por ordenador EVOL junto al escocés Stephen Sharp. Su trabajo conjunto gira en torno a la distorsión de la percepción temporal, los estados metales alterados y una relectura de la cultura techno.",Roc Jiménez de Cisneros,Pliegue Elástico. Mereotopología ácida sobre la condición del agujero,02.02 - 09.04.2017,02.02 - 09.04.2017,http://artssantamonica.gencat.cat/web/.content/Imatge/2017/Exposicions/Plec-elastic-Mereotopologia/Roc-Jimenez-deCisneros-606x420.jpg_356955165.jpg,null,null,null,null,/es/detall/Plec-Elastic.-Mereotopologia-acida-sobre-la-condicio-del-forat,null
http://artssantamonica.gencat.cat/es/detall/Decoding-Zoom-in-Design,"L'escola de Disseny i Enginyeria ELISAVA, fundada el 1961, va ser la primera escola de disseny d'Espanya i, adscrita a la Universitat Pompeu Fabra (UPF), segueix sent un referent d'escola oberta a la innovació, la creativitat i la tecnologia, sempre conjugades amb el rigor i l'excel·lència acadèmiques.
Amb aquest esperit d'innovació, ELISAVA ha creat una unitat d'investigació multidisciplinària, ELISAVA Research, que representa l'aposta de l'escola per la generació de coneixement, per la col·laboració universitat-empresa i per l'atracció de talent. ELISAVA Research va néixer amb el projecte Decoding, una forma d'observar i analitzar el món del disseny, la innovació i la creativitat. A Decoding conflueixen la recerca en disseny amb els mètodes científics per trobar els codis i patrons que regeixen certs aspectes de la teoria i la pràctica del disseny.
Zoom in Design presenta, doncs, els primers resultats del projecte Decoding, que parlen de l'estructuració del llenguatge emprat en el procés de disseny a través d'una ontologia pròpia, de l'optimització de la creativitat dels dissenyadors mitjançant una eina d'autoavaluació exclusiva, i de la formulació de bones pràctiques en processos de disseny, així com de la utilització del disseny com a eina per captar l'imperceptible i per impulsar el futur de les tecnologies disruptives.
Articulada al voltant de l'ontologia del procés de disseny i de la seva qualitat fractal, l'exposició pretén mostrar, experimentar i fer reflexionar sobre la investigació en disseny i la definició del rol dels dissenyadors en el futur. Un zoom en l'univers d'investigació Decoding, un instrument de mesura i de projecció del disseny.
ELISAVA Research, punt de referència
ELISAVA Research obre una nova etapa per l'escola ELISAVA com a espai de reflexió i producció de coneixement.
Un espai des d'on s'investiguen, ideen, prototipen i comuniquen les solucions als reptes importants i futurs del disseny, la societat i les empreses; essencials en un món cada cop més complex.
Una investigació diversificada i pionera que resulta de la combinació de cinc conceptes principals que es treballen a nivell trans- i interdisciplinari: humà, dades, matèria, interacció i societat.
Una comunitat activa d’investigadors, estudiants, dissenyadors i empreses que té com a objectiu aportar valor a la societat a través de la innovació i el talent, creant oportunitats de desenvolupament que siguin sostenibles, ètiques i de benestar. Una xarxa de coneixement a escala internacional que implica a diferents actors estratègics.
Una investigació universitària aplicada i diferencial que dóna sortida als nous paradigmes de la indústria actual, i que considera la recerca com a part integral de l'experiència d'aprenentatge. Aquesta recerca s'integra dins el sistema de definició i formació de nous perfils de dissenyadors i enginyers.",null,Decoding: Zoom in Design,23.02 - 16.04.2017,23.02 - 16.04.2017,http://artssantamonica.gencat.cat/web/.content/Imatge/2017/Exposicions/Decoding-zoom-in-design/Zoom-in-design-606x420.jpg_356955165.jpg,null,null,null,null,/es/detall/Decoding-Zoom-in-Design,null
